timestamp,time_since_start,player_type,attack_type,damage,is_counter_attack
2022-09-14 23:26:43.497102,3601,Main,Paper,1,False
2022-09-14 23:26:44.379765,4482,Enemy,Paper,1,False
2022-09-14 23:26:45.057001,5160,Main,Paper,1,False
2022-09-14 23:26:46.638571,6742,Main,Paper,1,False
2022-09-14 23:26:47.604161,7708,Enemy,Rock,10,False
2022-09-14 23:26:48.214027,8317,Main,Scissors,3,False
2022-09-14 23:26:49.791586,9895,Main,Scissors,3,False
2022-09-14 23:26:51.375050,11478,Enemy,Paper,20,True
2022-09-14 23:26:52.098217,12201,Enemy,Paper,1,False
2022-09-14 23:26:53.239435,13342,Main,Rock,10,False
2022-09-14 23:26:54.514512,14617,Main,Paper,1,False
2022-09-14 23:26:55.321236,15424,Enemy,Scissors,3,False
2022-09-14 23:26:56.091662,16194,Main,Paper,1,False
2022-09-14 23:26:57.695536,17799,Enemy,Paper,20,True
2022-09-14 23:26:58.417328,18521,Enemy,Paper,1,False
2022-09-14 23:26:59.547454,19651,Main,Rock,10,False
2022-09-14 23:27:00.818398,20922,Main,Scissors,3,False
2022-09-14 23:27:02.700127,22804,Main,Rock,10,False
2022-09-14 23:27:03.860158,23964,Enemy,Scissors,3,False
2022-09-14 23:27:03.974352,24077,Main,Scissors,3,False
2022-09-14 23:27:05.456435,25555,Enemy,Rock,10,False
2022-09-14 23:27:05.548634,25652,Main,Scissors,3,False
2022-09-14 23:27:06.515518,26619,Enemy,Paper,1,False
2022-09-14 23:27:07.431705,27536,Main,Rock,10,False
2022-09-14 23:27:08.670350,28774,Enemy,Scissors,20,True
2022-09-14 23:27:09.394560,29497,Enemy,Scissors,3,False
2022-09-14 23:27:10.263139,30366,Main,Paper,1,False
2022-09-14 23:27:11.779514,31883,Enemy,Scissors,20,True
2022-09-14 23:27:12.502550,32606,Enemy,Scissors,3,False
2022-09-14 23:27:13.713781,33818,Main,Rock,10,False
2022-09-14 23:27:14.141431,34239,Enemy,Scissors,3,False
2022-09-14 23:27:15.311427,35414,Main,Rock,10,False
2022-09-14 23:27:16.568059,36672,Main,Paper,1,False
2022-09-14 23:27:18.186678,38290,Enemy,Paper,20,True
2022-09-14 23:27:18.917827,39021,Enemy,Paper,1,False
2022-09-14 23:27:19.722554,39826,Main,Paper,1,False
2022-09-14 23:27:21.301611,41405,Main,Scissors,3,False
2022-09-14 23:27:21.928840,42032,Enemy,Paper,1,False
2022-09-14 23:27:23.183480,43287,Main,Rock,10,False
2022-09-14 23:27:23.794779,43899,Enemy,Rock,10,False
2022-09-14 23:27:24.750887,44850,Main,Rock,10,False
2022-09-14 23:27:26.114657,46218,Enemy,Paper,20,True
2022-09-14 23:27:26.842514,46947,Enemy,Paper,1,False
2022-09-14 23:27:27.903826,48007,Main,Rock,10,False
2022-09-14 23:27:39.230524,2559,Enemy,Scissors,3,False
2022-09-14 23:27:40.703557,4032,Main,Rock,10,False
2022-09-14 23:27:41.024764,4354,Enemy,Paper,1,False
2022-09-14 23:27:42.232002,5561,Main,Scissors,3,False
2022-09-16 16:36:21.687062,4421,Main,Paper,1,False
2022-09-16 16:36:24.164304,6899,Main,Paper,1,False
2022-09-16 16:36:26.927135,9661,Main,Rock,10,False
2022-09-16 16:36:29.106273,11841,Main,Paper,1,False
2022-09-16 16:36:31.570444,14304,Main,Scissors,3,False
2022-09-16 16:36:34.038225,16772,Main,Paper,1,False
2022-09-16 16:36:36.508550,19242,Main,Paper,1,False
2022-09-16 16:36:39.282839,22017,Main,Rock,10,False
2022-09-16 16:36:41.460763,24194,Main,Scissors,3,False
2022-09-16 16:36:44.229083,26964,Main,Rock,10,False
2022-09-16 16:36:46.382193,29112,Main,Scissors,3,False
2022-09-16 16:36:48.868490,31602,Main,Scissors,3,False
2022-09-16 16:36:50.453734,33188,Enemy,Rock,10,False
2022-09-16 16:36:51.332709,34067,Main,Scissors,3,False
2022-09-16 16:36:54.110831,36846,Main,Rock,10,False
2022-09-16 16:36:56.578951,39313,Main,Rock,10,False
2022-09-16 16:36:58.742860,41477,Main,Scissors,3,False
2022-09-16 16:36:59.568848,42303,Enemy,Paper,1,False
2022-09-16 16:37:01.212391,43947,Main,Scissors,3,False
2022-09-16 16:37:03.686678,46421,Main,Scissors,3,False
2022-09-16 16:37:04.729055,47463,Enemy,Rock,10,False
2022-09-16 16:37:06.153164,48888,Main,Paper,1,False
2022-09-16 16:37:08.548490,51283,Enemy,Rock,20,True
2022-09-16 16:37:09.566260,52300,Enemy,Rock,10,False
2022-09-16 16:37:11.090003,53825,Main,Paper,1,False
2022-09-16 16:37:13.558733,56293,Main,Scissors,3,False
2022-09-16 16:37:16.033910,58768,Main,Paper,1,False
2022-09-16 16:37:18.506956,61241,Main,Paper,1,False
2022-09-16 16:37:20.971332,63706,Main,Paper,1,False
2022-09-16 16:37:23.739907,66474,Main,Rock,10,False
2022-09-16 16:37:25.930971,68665,Main,Paper,1,False
2022-09-16 16:37:28.387106,71121,Main,Paper,1,False
2022-09-16 16:37:30.863552,73598,Main,Paper,1,False
2022-09-16 16:37:33.332589,76067,Main,Paper,1,False
2022-09-16 16:37:35.805714,78540,Main,Paper,1,False
2022-09-16 16:37:38.559874,81294,Main,Rock,10,False
2022-09-16 16:37:41.051349,83786,Main,Rock,10,False
2022-09-16 16:37:43.504564,86239,Main,Rock,10,False
2022-09-16 16:37:45.675597,88410,Main,Paper,1,False
2022-09-16 16:39:28.356259,4149,Main,Rock,10,False
2022-09-16 16:39:29.844586,5637,Main,Paper,1,False
2022-09-16 16:39:31.073728,6866,Enemy,Rock,10,False
